school,sex,age,home_area,family_size,parents_cohabit,education_mother,education_father,occupation_mother,occupation_father,reason,guardian,travel_time,study_time,failures,extra_school_support,family_support,extra_tutoring,extracurricular_activities,nursery,higher_education,internet_access,romantic_relationship,family_relationships_quality,free_time,going_out,alcohol_weekdays,alcohol_weekend,health_status,absences,final_grade
Gabriel Pereira,F,18,Urban,> 3,FALSE,Higher education,Higher education,At home,Teacher,Course preference,Mother,15 to 30 minutes,2 to 5 hours/week,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,3,4,1,1,3,4,11
Gabriel Pereira,F,17,Urban,> 3,TRUE,Primary education,Primary education,At home,Other,Course preference,Father,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,3,3,1,1,3,2,11
Gabriel Pereira,F,15,Urban,<= 3,TRUE,Primary education,Primary education,At home,Other,Other,Mother,< 15 minutes,2 to 5 hours/week,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,3,2,2,3,3,6,12
Gabriel Pereira,F,15,Urban,> 3,TRUE,Higher education,Lower secondary education,Healthcare,Civil service,Close to home,Mother,< 15 minutes,5 to 10 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3,2,2,1,1,5,0,14
Gabriel Pereira,F,16,Urban,> 3,TRUE,Upper secondary education,Upper secondary education,Other,Other,Close to home,Father,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,3,2,1,2,5,0,13
Gabriel Pereira,M,16,Urban,<= 3,TRUE,Higher education,Upper secondary education,Civil service,Other,Reputation,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,5,4,2,1,2,5,6,13
Gabriel Pereira,M,16,Urban,<= 3,TRUE,Lower secondary education,Lower secondary education,Other,Other,Close to home,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,4,4,1,1,3,0,13
Gabriel Pereira,F,17,Urban,> 3,FALSE,Higher education,Higher education,Other,Teacher,Close to home,Mother,15 to 30 minutes,2 to 5 hours/week,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,1,4,1,1,1,2,13
Gabriel Pereira,M,15,Urban,<= 3,FALSE,Upper secondary education,Lower secondary education,Civil service,Other,Close to home,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,2,2,1,1,1,0,17
Gabriel Pereira,M,15,Urban,> 3,TRUE,Upper secondary education,Higher education,Other,Other,Close to home,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,5,5,1,1,1,5,0,13
Gabriel Pereira,F,15,Urban,> 3,TRUE,Higher education,Higher education,Teacher,Healthcare,Reputation,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,3,3,3,1,2,2,2,14
Gabriel Pereira,F,15,Urban,> 3,TRUE,Lower secondary education,Primary education,Civil service,Other,Reputation,Father,30 minutes to 1 hour,5 to 10 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,5,2,2,1,1,4,0,13
Gabriel Pereira,M,15,Urban,<= 3,TRUE,Higher education,Higher education,Healthcare,Civil service,Course preference,Father,< 15 minutes,< 2 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,3,1,3,5,0,12
Gabriel Pereira,M,15,Urban,> 3,TRUE,Higher education,Upper secondary education,Teacher,Other,Course preference,Mother,15 to 30 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,4,3,1,2,3,0,13
Gabriel Pereira,M,15,Urban,> 3,FALSE,Lower secondary education,Lower secondary education,Other,Other,Close to home,Other,< 15 minutes,5 to 10 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,4,5,2,1,1,3,0,15
Gabriel Pereira,F,16,Urban,> 3,TRUE,Higher education,Higher education,Healthcare,Other,Close to home,Mother,< 15 minutes,< 2 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,4,4,1,2,2,6,17
